rule_id,zone_id,identifier,airspace_type,airspace_name,composition_op,upper_limit,upper_unit,lower_limit,lower_unit,airspace_class,altitude_interpretation,match_method
301,301,MOA 34,MOA,MOA 34,BASE,4000,FT,500,FT,,,identifier_in_text
302,302,MOA 35,MOA,MOA 35,BASE,4000,FT,500,FT,,,identifier_in_text
303,303,MOA 36,MOA,MOA 36,BASE,4000,FT,500,FT,,,identifier_in_text
304,304,MOA 37,MOA,MOA 37,BASE,8000,FT,GND,,,,identifier_in_text
305,305,MOA 38,MOA,MOA 38,BASE,8000,FT,GND,,,,identifier_in_text
306,306,MOA 39,MOA,MOA 39,BASE,5000,FT,GND,,,,identifier_in_text
307,307,MOA 3A,MOA,MOA 3A,BASE,7000,FT,3000,FT,,,identifier_in_text
308,308,MOA 3H,MOA,MOA 3H,BASE,400,FL,10000,FT,,,identifier_in_text
309,309,MOA 3L,MOA,MOA 3L,BASE,9000,FT,3000,FT,,,identifier_in_text
310,310,MOA 4,MOA,MOA 4,BASE,9000,FT,3000,FT,,,identifier_in_text
311,311,MOA 40,MOA,MOA 40,BASE,5000,FT,GND,,,,identifier_in_text
312,312,MOA 41,MOA,MOA 41,BASE,5000,FT,GND,,,,identifier_in_text
313,313,MOA 5,MOA,MOA 5,BASE,400,FL,12000,FT,,,identifier_in_text
314,314,MOA 5,MOA,MOA 5,BASE,400,FL,12000,FT,,,identifier_in_text
315,315,MOA 6,MOA,MOA 6,BASE,400,FL,10000,FT,,,identifier_in_text
316,316,MOA 6,MOA,MOA 6,BASE,400,FL,10000,FT,,,identifier_in_text
317,317,MOA 7,MOA,MOA 7,BASE,400,FL,10000,FT,,,identifier_in_text
318,318,MOA 8,MOA,MOA 8,BASE,400,FL,11000,FT,,,identifier_in_text
319,319,MOA 8,MOA,MOA 8,BASE,400,FL,11000,FT,,,identifier_in_text
320,320,MOA 9E,MOA,MOA 9E,BASE,10000,FT,3000,FT,,,identifier_in_text
321,321,MOA 9E,MOA,MOA 9E,BASE,10000,FT,3000,FT,,,identifier_in_text
322,322,MOA 9W,MOA,MOA 9W,BASE,400,FL,11000,FT,,,identifier_in_text
323,323,MOA 9W,MOA,MOA 9W,BASE,400,FL,11000,FT,,,identifier_in_text
324,324,D1,D,RK D1 GORI,BASE,10000,FT,GND,,,,zone_code_exact
325,325,D13,D,RK D13 SEONGHWAN,BASE,3000,FT,GND,,,,zone_code_exact
326,326,D14,D,RK D14 JAECHEON,BASE,3000,FT,GND,,,,zone_code_exact
327,327,D15,D,RK D15 JEONUI,BASE,3000,FT,GND,,,,zone_code_exact
328,328,D16,D,RK D16 JANGDONG,BASE,2000,FT,GND,,,,zone_code_exact
329,329,D17,D,RK D17 IMSIL,BASE,3000,FT,GND,,,,zone_code_exact
330,330,D18,D,RK D18 HAKSAN,BASE,3000,FT,GND,,,,zone_code_exact
331,331,D19,D,RK D19 JUDEOK,BASE,1000,FT,GND,,,,zone_code_exact
332,332,D2,D,RK D2 WOLSEONG,BASE,10000,FT,GND,,,,zone_code_exact
333,333,D20,D,RK D20 GUUI,BASE,1600,FT,GND,,,,zone_code_exact
334,334,D21,D,RK D21 JAYANG,BASE,1700,FT,GND,,,,zone_code_exact
335,335,D22,D,RK D22 SAMSEONG,BASE,1800,FT,GND,,,,zone_code_exact
336,336,D23,D,RK D23 DOGOK,BASE,1900,FT,GND,,,,zone_code_exact
337,337,D24,D,RK D24 YEOKSAM,BASE,1700,FT,GND,,,,zone_code_exact
338,338,D25,D,RK D25 SEOCHO,BASE,1500,FT,GND,,,,zone_code_exact
339,339,D26,D,RK D26 SINDAEBANG,BASE,1600,FT,GND,,,,zone_code_exact
340,340,D27,D,RK D27 YEOUI,BASE,1900,FT,GND,,,,zone_code_exact
341,341,D28,D,RK D28 SINDORIM,BASE,1700,FT,GND,,,,zone_code_exact
342,342,D29,D,RK D29 MULLAE,BASE,1600,FT,GND,,,,zone_code_exact
343,343,D30,D,RK D30 MOKDONG,BASE,1900,FT,GND,,,,zone_code_exact
344,344,D31,D,RK D31 GUPO,BASE,1600,FT,GND,,,,zone_code_exact
345,345,D32,D,RK D32 DONGNAE,BASE,1600,FT,GND,,,,zone_code_exact
346,346,D33,D,RK D33 YEONJE,BASE,1500,FT,GND,,,,zone_code_exact
347,347,D34,D,RK D34 SUYEONG,BASE,1600,FT,GND,,,,zone_code_exact
348,348,D35,D,RK D35 SEOMYEON,BASE,2000,FT,GND,,,,zone_code_exact
349,349,D36,D,RK D36 HAEUNDAE,BASE,2000,FT,GND,,,,zone_code_exact
350,350,D37,D,RK D37 MOONTEN,BASE,1600,FT,GND,,,,zone_code_exact
351,351,D5,D,RK D5 WANJU,BASE,3000,FT,GND,,,,zone_code_exact
352,352,D6,D,RK D6 YEONGDONG,BASE,3000,FT,GND,,,,zone_code_exact
353,353,D7,D,RK D7 HANBIT,BASE,10000,FT,GND,,,,zone_code_exact
354,354,D8,D,RK D8 HANUL,BASE,8000,FT,GND,,,,identifier_in_text
355,355,D9,D,RK D9 YEONGCHEON,BASE,3000,FT,GND,,,,zone_code_exact
356,356,A18,A,RK A18 GANGNEUNG,BASE,150,FL,GND,,,,identifier_in_text
357,357,A19,A,RK A19 JUNGWON,BASE,150,FL,GND,,,,identifier_in_text
358,358,A19T,A,RK A19T JUNGWON TFR,BASE,2000,FT,800,FT,,,identifier_in_text
359,359,D27,D,RK D27 YEOUI,BASE,1900,FT,GND,,,,identifier_in_text
360,360,A20T,A,RK A20T SEOSAN TFR,BASE,2000,FT,700,FT,,,identifier_in_text
361,361,A8,A,RK A8 IEODO,BASE,140,FL,GND,,,,identifier_in_text
362,362,A810,A,RK A810 HANAM,BASE,1000,FT,GND,,,,identifier_in_text
363,363,A811,A,RK A811 BUCHEON,BASE,1000,FT,GND,,,,identifier_in_text
364,364,A9A,A,RK A9A IEODO,BASE,3000,FT,GND,,,,identifier_in_text
365,365,A9B,A,RK A9B IEODO,BASE,3000,FT,GND,,,,identifier_in_text
366,366,D34,D,RK D34 SUYEONG,BASE,1600,FT,GND,,,,identifier_in_text
367,367,,,,,,,,,,,unmatched
368,368,D9,D,RK D9 YEONGCHEON,BASE,3000,FT,GND,,,,identifier_in_text
369,369,D22,D,RK D22 SAMSEONG,BASE,1800,FT,GND,,,,identifier_in_text
370,370,,,,,,,,,,,unmatched
371,371,D2,D,RK D2 WOLSEONG,BASE,10000,FT,GND,,,,identifier_in_text
372,372,D2,D,RK D2 WOLSEONG,BASE,10000,FT,GND,,,,identifier_in_text
373,373,D27,D,RK D27 YEOUI,BASE,1900,FT,GND,,,,identifier_in_text
374,374,D5,D,RK D5 WANJU,BASE,3000,FT,GND,,,,identifier_in_text
375,375,D21,D,RK D21 JAYANG,BASE,1700,FT,GND,,,,identifier_in_text
376,376,D9,D,RK D9 YEONGCHEON,BASE,3000,FT,GND,,,,identifier_in_text
